unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN0679,497494.1893214285,100,PR0294,1,1,1,3,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,4,0,-7.802683,110.360967,A0043,Ngupasan
UN0679,497494.1893214285,100,PR0294,1,1,1,3,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,4,0,-7.802683,110.360967,A0043,Ngupasan
UN0680,446585.6353893129,131,PR0294,1,1,1,2,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,4,0,-7.802683,110.360967,A0043,Ngupasan
UN1417,972399.3369142857,35,PR0055,3,2,3,7,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,-7.8317661,110.3806358,A0001,Yogyakarta
UN1471,832810.3760172413,29,PR0051,3,2,3,6,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,,,A0044,Banguntapan
UN1536,753970.738390677,166,PR0120,1,2,1,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,4,0,-8.805646,115.113378,A0008,Bingin
UN1537,775996.1948229801,149,PR0120,1,3,1,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,4,0,-8.805646,115.113378,A0008,Bingin
UN1538,766267.9746554877,164,PR0120,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4,0,-8.805646,115.113378,A0008,Bingin
UN1539,1052370.8187414699,108,PR0120,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,4,0,-8.805646,115.113378,A0008,Bingin
UN1540,1285208.7060794546,137,PR0120,1,1,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,4,0,-8.805646,115.113378,A0008,Bingin
UN1590,492083.6726035239,47,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,4,0,,,A0008,Bingin
UN1591,637749.8819005642,20,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
