room_id,average_baseline_price,number_of_bookings,unit_id,bathroom,bedroom,beds,capacity,unit_type_id,property_id,name,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_design,property_type,lat,lng,distance_to_coastline,property_bedrooms
396442,1725334.964849721,58,UN2444,5,3,3,6,973,PR0500,Blu Apsara,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,4,2,-8.830237,115.167079,2041.98,3
396443,1102986.2021145085,48,UN1223,2,2,3,,505,PR0093,Villa Istana Willy,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-8.825629,115.153055,2398.34,4
396445,2932103.255860334,97,UN2266,5,4,4,9,923,PR0435,Entire House 4BR,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,4,2,-8.810648,115.156482,3125.52,4
396446,1249076.459698978,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396658,1283523.0629001975,46,UN1540,1,1,1,2,121,PR0120,Bingin Ombak Apartment - 2 Lantai 2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,4,-8.805646,115.113378,15.6035,7
397165,1937579.0989285712,20,UN0366,1,1,1,2,205,PR0282,Downstairs Hot Water,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
397665,414552.95630097436,294,UN2603,1,1,1,,1027,PR0575,Double,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.651059,115.131027,770.099,9
397666,358697.10946274234,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397667,635751.257197236,632,UN2504,1,1,1,2,987,PR0513,Asri Village,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,3,4,-8.835766,115.123054,1163.26,6
397668,474170.2392170867,187,UN2377,1,1,1,2,729,PR0314,Wooden,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,4,-8.835812,115.118645,1133.15,6
397669,437124.8073823466,401,UN2535,1,1,1,2,1184,PR0519,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.837775,115.125437,976.438,4
397670,414597.53506036685,353,UN2533,1,1,1,2,997,PR0519,Lumbung,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.837775,115.125437,976.438,4
397671,1254885.8059773243,147,UN1944,1,1,1,4,1173,PR0363,Despacito Loft & Lounge - 5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,3,4,-8.81394,115.1096954,616.825,6
397672,1074892.0056167748,140,UN1945,1,1,1,2,1172,PR0363,Despacito Loft & Lounge - 4,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,3,4,-8.81394,115.1096954,616.825,6
397673,1072624.6954441962,160,UN1948,1,1,1,2,1171,PR0363,Despacito Loft & Lounge - 3,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,3,4,-8.81394,115.1096954,616.825,6
397674,318588.90784043877,532,UN2361,1,1,1,2,949,PR0467,Downstairs/Upstairs,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,4,-8.650003,115.133906,1055.57,7
397675,510951.88016170304,396,UN2468,1,1,1,2,1182,PR0494,Standard,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,4,-8.836065,115.11936,1098.55,2
397676,641238.2681867563,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397677,402296.50157754903,280,UN2493,1,1,1,2,986,PR0510,Kencana Homestay,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,4,-8.649104,115.13234,1030.11,7
397678,656447.7528869252,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397679,446864.83991486806,364,UN2288,1,1,1,2,1180,PR0442,Double,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,4,-8.652609,115.13751,1093.22,10
397680,407041.8981807231,107,UN2287,1,1,1,2,927,PR0442,Twin,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,4,-8.652609,115.13751,1093.22,10
